CASE COUNT,CASE COUNT_7 DA,DEATH COUNT_7 DA,HOSPITALIZED COUNT,DEATH COUNT,BOROUGH,HOSPITALIZED COUNT_7 DA,date_of_interest
475,381,1,0,1,Bronx,16,6/28/2022
489,380,1,6,0,Bronx,18,6/27/2022
221,356,1,19,0,Bronx,19,6/26/2022
260,347,1,21,3,Bronx,18,6/25/2022
373,343,1,24,0,Bronx,18,6/24/2022
374,338,1,18,2,Bronx,19,6/23/2022
473,331,1,23,1,Bronx,20,6/22/2022
471,317,1,13,2,Bronx,20,6/21/2022
319,298,1,18,1,Bronx,22,6/20/2022
157,317,1,12,0,Bronx,23,6/19/2022
237,316,1,18,2,Bronx,23,6/18/2022
334,310,1,33,2,Bronx,23,6/17/2022
324,308,2,21,1,Bronx,21,6/16/2022
380,306,2,28,0,Bronx,20,6/15/2022
333,300,2,23,2,Bronx,19,6/14/2022
451,306,2,23,1,Bronx,19,6/13/2022
154,302,2,18,1,Bronx,19,6/12/2022
196,305,2,15,3,Bronx,19,6/11/2022
316,304,2,19,3,Bronx,18,6/10/2022
314,309,1,15,1,Bronx,18,6/9/2022
335,318,1,21,2,Bronx,18,6/8/2022
378,341,1,24,1,Bronx,18,6/7/2022
423,360,2,22,1,Bronx,18,6/6/2022
172,330,2,19,1,Bronx,17,6/5/2022
193,331,2,8,4,Bronx,17,6/4/2022
345,330,1,15,0,Bronx,17,6/3/2022
378,334,1,20,1,Bronx,18,6/2/2022
500,341,1,19,2,Bronx,19,6/1/2022
512,334,1,22,2,Bronx,20,5/31/2022
207,335,1,19,1,Bronx,18,5/30/2022
179,385,1,14,1,Bronx,18,5/29/2022
192,389,1,12,1,Bronx,19,5/28/2022
370,402,1,22,0,Bronx,22,5/27/2022
427,411,2,24,1,Bronx,24,5/26/2022
452,419,2,25,2,Bronx,22,5/25/2022
517,433,1,11,2,Bronx,21,5/24/2022
556,427,1,20,1,Bronx,23,5/23/2022
209,427,1,16,0,Bronx,23,5/22/2022
286,426,1,36,3,Bronx,23,5/21/2022
429,419,1,36,2,Bronx,20,5/20/2022
486,415,1,11,1,Bronx,19,5/19/2022
549,408,1,15,0,Bronx,20,5/18/2022
474,391,1,28,1,Bronx,22,5/17/2022
554,377,1,16,2,Bronx,21,5/16/2022
204,365,1,21,1,Bronx,21,5/15/2022
234,358,0,16,2,Bronx,19,5/14/2022
401,347,0,23,0,Bronx,19,5/13/2022
439,330,1,23,1,Bronx,17,5/12/2022
433,321,0,27,0,Bronx,17,5/11/2022
375,306,0,20,0,Bronx,15,5/10/2022
472,299,1,15,0,Bronx,15,5/9/2022
150,274,1,8,0,Bronx,15,5/8/2022
162,271,1,15,0,Bronx,15,5/7/2022
279,267,1,10,3,Bronx,15,5/6/2022
375,260,1,24,0,Bronx,16,5/5/2022
326,241,1,11,0,Bronx,14,5/4/2022
329,237,1,19,2,Bronx,15,5/3/2022
295,227,1,15,0,Bronx,14,5/2/2022
130,227,1,9,1,Bronx,13,5/1/2022
135,224,1,14,1,Bronx,13,4/30/2022
228,222,1,19,1,Bronx,13,4/29/2022
246,213,0,10,1,Bronx,11,4/28/2022
298,203,0,16,1,Bronx,11,4/27/2022
258,188,0,17,1,Bronx,10,4/26/2022
293,177,0,5,0,Bronx,8,4/25/2022
112,162,0,8,0,Bronx,9,4/24/2022
116,157,0,14,0,Bronx,10,4/23/2022
170,157,0,8,0,Bronx,9,4/22/2022
177,153,0,11,1,Bronx,10,4/21/2022
193,155,0,7,0,Bronx,9,4/20/2022
180,156,0,6,0,Bronx,9,4/19/2022
186,160,1,10,0,Bronx,10,4/18/2022
80,165,1,12,1,Bronx,10,4/17/2022
116,163,1,9,0,Bronx,10,4/16/2022
137,157,1,13,1,Bronx,9,4/15/2022
192,156,1,7,0,Bronx,9,4/14/2022
201,149,1,8,1,Bronx,9,4/13/2022
206,142,1,11,1,Bronx,9,4/12/2022
222,134,1,10,0,Bronx,9,4/11/2022
69,129,1,10,3,Bronx,8,4/10/2022
69,126,1,6,0,Bronx,7,4/9/2022
135,127,1,11,0,Bronx,7,4/8/2022
144,123,1,8,0,Bronx,6,4/7/2022
149,117,1,6,1,Bronx,6,4/6/2022
148,112,1,9,0,Bronx,6,4/5/2022
186,107,1,3,1,Bronx,5,4/4/2022
54,98,1,7,2,Bronx,6,4/3/2022
70,97,1,5,0,Bronx,5,4/2/2022
112,94,1,5,1,Bronx,5,4/1/2022
97,92,1,5,1,Bronx,5,3/31/2022
119,93,1,9,0,Bronx,5,3/30/2022
110,88,2,2,2,Bronx,4,3/29/2022
124,85,1,6,1,Bronx,5,3/28/2022
48,82,1,4,1,Bronx,5,3/27/2022
49,80,1,4,2,Bronx,5,3/26/2022
94,76,1,5,3,Bronx,5,3/25/2022
104,72,0,2,1,Bronx,4,3/24/2022
85,66,0,6,1,Bronx,5,3/23/2022
92,64,0,6,0,Bronx,5,3/22/2022
105,60,1,6,0,Bronx,5,3/21/2022
28,55,2,3,0,Bronx,5,3/20/2022
26,56,2,4,0,Bronx,4,3/19/2022
63,55,2,4,1,Bronx,4,3/18/2022
66,54,2,5,0,Bronx,5,3/17/2022
70,52,3,5,2,Bronx,5,3/16/2022
61,48,3,8,6,Bronx,5,3/15/2022
69,47,2,3,3,Bronx,5,3/14/2022
35,42,2,2,1,Bronx,5,3/13/2022
21,41,2,4,2,Bronx,5,3/12/2022
59,42,2,5,1,Bronx,6,3/11/2022
49,40,2,7,3,Bronx,6,3/10/2022
42,40,2,8,2,Bronx,6,3/9/2022
52,41,2,5,1,Bronx,7,3/8/2022
38,41,2,3,1,Bronx,8,3/7/2022
23,44,3,5,2,Bronx,9,3/6/2022
29,45,2,7,5,Bronx,9,3/5/2022
45,45,2,8,2,Bronx,8,3/4/2022
51,43,2,9,0,Bronx,8,3/3/2022
47,47,3,11,2,Bronx,8,3/2/2022
56,50,3,11,4,Bronx,8,3/1/2022
57,51,2,9,3,Bronx,8,2/28/2022
27,50,2,5,1,Bronx,9,2/27/2022
32,52,3,5,0,Bronx,9,2/26/2022
32,54,4,4,4,Bronx,10,2/25/2022
77,59,4,11,4,Bronx,12,2/24/2022
68,60,4,13,3,Bronx,12,2/23/2022
66,63,5,11,2,Bronx,12,2/22/2022
47,66,5,11,3,Bronx,12,2/21/2022
45,73,5,11,3,Bronx,13,2/20/2022
40,74,6,11,6,Bronx,14,2/19/2022
70,78,6,15,4,Bronx,14,2/18/2022
81,87,7,10,7,Bronx,15,2/17/2022
89,94,6,12,7,Bronx,17,2/16/2022
91,104,7,14,2,Bronx,18,2/15/2022
96,119,7,18,3,Bronx,22,2/14/2022
54,132,8,15,12,Bronx,22,2/13/2022
68,134,7,15,7,Bronx,22,2/12/2022
132,141,8,22,10,Bronx,24,2/11/2022
128,148,8,20,4,Bronx,25,2/10/2022
158,166,10,25,8,Bronx,26,2/9/2022
195,180,10,36,8,Bronx,28,2/8/2022
190,193,11,21,5,Bronx,28,2/7/2022
70,257,12,17,9,Bronx,33,2/6/2022
117,266,13,30,14,Bronx,34,2/5/2022
176,260,13,25,11,Bronx,33,2/4/2022
253,278,13,31,12,Bronx,36,2/3/2022
261,305,13,39,12,Bronx,40,2/2/2022
282,342,15,32,12,Bronx,43,2/1/2022
638,385,16,58,13,Bronx,51,1/31/2022
138,410,17,23,16,Bronx,58,1/30/2022
69,441,17,23,13,Bronx,64,1/29/2022
307,497,16,48,15,Bronx,72,1/28/2022
443,562,17,56,13,Bronx,80,1/27/2022
518,635,18,62,24,Bronx,86,1/26/2022
581,740,17,86,19,Bronx,92,1/25/2022
817,888,18,111,16,Bronx,98,1/24/2022
351,941,19,60,18,Bronx,97,1/23/2022
465,1004,19,81,10,Bronx,103,1/22/2022
762,1064,20,101,19,Bronx,108,1/21/2022
