HOSPITALIZED COUNT,DEATH COUNT,CASE COUNT,HOSPITALIZED COUNT_7 DA,DEATH COUNT_7 DA,CASE COUNT_7 DA,BOROUGH,date_of_interest
0,0,48,4,1,42,Bronx,3/3/2022
1,1,46,6,2,46,Bronx,3/2/2022
9,4,56,7,2,49,Bronx,3/1/2022
9,2,54,8,2,50,Bronx,2/28/2022
4,1,27,8,2,49,Bronx,2/27/2022
3,0,31,9,2,52,Bronx,2/26/2022
4,2,31,10,3,53,Bronx,2/25/2022
11,4,77,12,3,58,Bronx,2/24/2022
12,3,66,12,4,59,Bronx,2/23/2022
11,2,66,12,4,62,Bronx,2/22/2022
12,3,46,12,4,65,Bronx,2/21/2022
12,2,44,12,4,72,Bronx,2/20/2022
10,4,40,13,5,74,Bronx,2/19/2022
14,4,69,14,5,78,Bronx,2/18/2022
10,7,81,15,6,87,Bronx,2/17/2022
12,6,87,16,6,93,Bronx,2/16/2022
13,2,90,18,6,104,Bronx,2/15/2022
16,1,96,22,7,118,Bronx,2/14/2022
15,11,54,22,8,132,Bronx,2/13/2022
15,7,66,23,8,134,Bronx,2/12/2022
23,10,132,25,9,142,Bronx,2/11/2022
20,4,127,25,9,148,Bronx,2/10/2022
25,8,160,26,10,166,Bronx,2/9/2022
37,8,193,28,10,181,Bronx,2/8/2022
20,6,190,28,11,194,Bronx,2/7/2022
18,10,71,33,12,257,Bronx,2/6/2022
29,14,118,33,13,267,Bronx,2/5/2022
23,11,176,32,13,259,Bronx,2/4/2022
33,11,252,35,13,278,Bronx,2/3/2022
39,12,266,38,14,304,Bronx,2/2/2022
31,12,282,42,15,339,Bronx,2/1/2022
58,13,637,50,16,381,Bronx,1/31/2022
20,16,138,58,17,402,Bronx,1/30/2022
21,13,65,63,17,432,Bronx,1/29/2022
44,16,304,72,17,488,Bronx,1/28/2022
56,13,438,80,17,554,Bronx,1/27/2022
63,25,506,87,18,627,Bronx,1/26/2022
86,18,579,93,17,733,Bronx,1/25/2022
113,17,781,99,18,881,Bronx,1/24/2022
58,18,349,98,19,938,Bronx,1/23/2022
82,10,462,104,19,1000,Bronx,1/22/2022
105,19,760,109,20,1058,Bronx,1/21/2022
101,17,950,119,21,1264,Bronx,1/20/2022
108,17,1251,128,21,1485,Bronx,1/19/2022
128,28,1615,137,22,1736,Bronx,1/18/2022
103,23,1179,146,22,1974,Bronx,1/17/2022
100,20,782,169,21,2434,Bronx,1/16/2022
117,14,870,178,21,2587,Bronx,1/15/2022
179,28,2202,191,21,2847,Bronx,1/14/2022
163,18,2498,196,19,3133,Bronx,1/13/2022
166,25,3009,212,18,3771,Bronx,1/12/2022
193,23,3279,231,16,4473,Bronx,1/11/2022
265,20,4396,250,15,5466,Bronx,1/10/2022
166,22,1855,263,13,6343,Bronx,1/9/2022
205,12,2688,291,12,6779,Bronx,1/8/2022
212,12,4205,292,12,6679,Bronx,1/7/2022
280,13,6962,286,12,6810,Bronx,1/6/2022
295,11,7928,289,11,7145,Bronx,1/5/2022
327,12,10228,285,11,7452,Bronx,1/4/2022
357,11,10535,267,10,7387,Bronx,1/3/2022
363,11,4906,255,10,7281,Bronx,1/2/2022
207,15,1986,229,9,7111,Bronx,1/1/2022
170,9,5126,220,8,7029,Bronx,12/31/2021
304,5,9304,216,8,6717,Bronx,12/30/2021
264,15,10080,199,7,6154,Bronx,12/29/2021
204,6,9772,187,6,5500,Bronx,12/28/2021
275,8,9792,173,5,4759,Bronx,12/27/2021
181,4,3718,145,4,3880,Bronx,12/26/2021
142,7,1412,132,4,3502,Bronx,12/25/2021
142,9,2942,119,4,3452,Bronx,12/24/2021
184,2,5362,110,3,3247,Bronx,12/23/2021
184,3,5500,97,3,2671,Bronx,12/22/2021
103,2,4585,79,3,2041,Bronx,12/21/2021
81,2,3643,70,3,1518,Bronx,12/20/2021
85,5,1069,63,3,1104,Bronx,12/19/2021
55,2,1060,55,3,988,Bronx,12/18/2021
79,2,1513,51,2,875,Bronx,12/17/2021
94,2,1327,46,2,708,Bronx,12/16/2021
54,5,1093,38,3,569,Bronx,12/15/2021
39,1,924,34,2,462,Bronx,12/14/2021
37,1,744,32,3,377,Bronx,12/13/2021
28,5,258,30,3,323,Bronx,12/12/2021
29,1,267,29,2,303,Bronx,12/11/2021
44,2,346,27,2,290,Bronx,12/10/2021
32,4,354,24,2,275,Bronx,12/9/2021
27,2,339,22,2,268,Bronx,12/8/2021
29,4,333,20,2,260,Bronx,12/7/2021
22,2,363,19,2,252,Bronx,12/6/2021
